        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Power [W] , GPU Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] ,
2014-01-24 11:46:10 ,              350.0   ,                800.0   ,               64.0   ,         0.1   ,          1   ,                          16   ,                       352   ,
2014-01-24 11:46:11 ,              350.0   ,                800.0   ,               63.0   ,         0.2   ,          3   ,                          16   ,                       355   ,
2014-01-24 11:46:12 ,              350.0   ,                800.0   ,               59.0   ,         0.9   ,          8   ,                          16   ,                       375   ,
2014-01-24 11:46:13 ,              350.0   ,                800.0   ,               65.0   ,         0.9   ,         10   ,                          16   ,                       363   ,
2014-01-24 11:46:14 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       367   ,
2014-01-24 11:46:15 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          0   ,                          16   ,                       371   ,
2014-01-24 11:46:16 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          0   ,                          16   ,                       374   ,
2014-01-24 11:46:17 ,              350.0   ,                800.0   ,               62.0   ,         0.0   ,          0   ,                          16   ,                       379   ,
2014-01-24 11:46:18 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          1   ,                          16   ,                       383   ,
2014-01-24 11:46:19 ,              350.0   ,                800.0   ,               62.0   ,         0.0   ,          1   ,                          16   ,                       387   ,
2014-01-24 11:46:20 ,              350.0   ,                800.0   ,               62.0   ,         0.0   ,          1   ,                          16   ,                       391   ,
2014-01-24 11:46:21 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          1   ,                          16   ,                       395   ,
2014-01-24 11:46:22 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          0   ,                          16   ,                       398   ,
2014-01-24 11:46:23 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          0   ,                          16   ,                       402   ,
2014-01-24 11:46:24 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          1   ,                          16   ,                       406   ,
2014-01-24 11:46:25 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          1   ,                          16   ,                       411   ,
2014-01-24 11:46:26 ,              350.0   ,                800.0   ,               63.0   ,         0.0   ,          1   ,                          16   ,                       415   ,
2014-01-24 11:46:27 ,              350.0   ,                800.0   ,               49.0   ,         0.0   ,          1   ,                          16   ,                       276   ,
2014-01-24 11:46:28 ,              350.0   ,                800.0   ,               50.0   ,         0.0   ,          0   ,                          16   ,                       276   ,
2014-01-24 11:46:29 ,              350.0   ,                800.0   ,               51.0   ,         0.0   ,          0   ,                          16   ,                       276   ,
2014-01-24 11:46:30 ,              350.0   ,                800.0   ,               51.0   ,         0.0   ,          0   ,                          16   ,                       276   ,
2014-01-24 11:46:31 ,              350.0   ,                800.0   ,               50.0   ,         0.0   ,          0   ,                          16   ,                       276   ,
2014-01-24 11:46:32 ,              350.0   ,                800.0   ,               49.0   ,         0.0   ,          0   ,                          16   ,                       276   ,
2014-01-24 11:46:33 ,              350.0   ,                800.0   ,               50.0   ,         0.2   ,          4   ,                          16   ,                       276   ,
2014-01-24 11:46:34 ,              350.0   ,                800.0   ,               50.0   ,         0.2   ,          3   ,                          16   ,                       276   ,
        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Power [W] , GPU Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] ,
2014-01-24 11:47:48 ,              350.0   ,                800.0   ,               45.0   ,         0.3   ,          4   ,                          16   ,                       285   ,
2014-01-24 11:47:49 ,             1250.0   ,                800.0   ,               46.0   ,         0.0   ,          1   ,                          16   ,                       282   ,
2014-01-24 11:47:50 ,              350.0   ,                800.0   ,               52.0   ,         0.1   ,          2   ,                          16   ,                       282   ,
2014-01-24 11:47:51 ,              350.0   ,                800.0   ,               59.0   ,         0.2   ,          3   ,                          16   ,                       280   ,
2014-01-24 11:47:52 ,              350.0   ,                800.0   ,               58.0   ,         0.0   ,          0   ,                          16   ,                       286   ,
2014-01-24 11:47:53 ,              350.0   ,                800.0   ,               56.0   ,         0.0   ,          0   ,                          16   ,                       288   ,
2014-01-24 11:47:54 ,              350.0   ,                800.0   ,               57.0   ,         0.0   ,          1   ,                          16   ,                       292   ,
2014-01-24 11:47:55 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          3   ,                          16   ,                       296   ,
2014-01-24 11:47:56 ,              350.0   ,                800.0   ,               54.0   ,         0.2   ,          3   ,                          16   ,                       300   ,
2014-01-24 11:47:57 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          1   ,                          16   ,                       303   ,
2014-01-24 11:47:58 ,              350.0   ,                800.0   ,               58.0   ,         0.0   ,          0   ,                          16   ,                       307   ,
2014-01-24 11:47:59 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          1   ,                          16   ,                       311   ,
2014-01-24 11:48:00 ,              350.0   ,                800.0   ,               58.0   ,         0.0   ,          1   ,                          16   ,                       315   ,
2014-01-24 11:48:01 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          1   ,                          16   ,                       320   ,
2014-01-24 11:48:02 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          0   ,                          16   ,                       322   ,
2014-01-24 11:48:03 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          1   ,                          16   ,                       326   ,
2014-01-24 11:48:04 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          1   ,                          16   ,                       331   ,
2014-01-24 11:48:06 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          1   ,                          16   ,                       335   ,
2014-01-24 11:48:07 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          1   ,                          16   ,                       339   ,
2014-01-24 11:48:08 ,              350.0   ,                800.0   ,               55.0   ,         0.0   ,          1   ,                          16   ,                       343   ,
2014-01-24 11:48:09 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          0   ,                          16   ,                       346   ,
2014-01-24 11:48:10 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          1   ,                          16   ,                       350   ,
2014-01-24 11:48:11 ,              350.0   ,                800.0   ,               62.0   ,         0.0   ,          1   ,                          16   ,                       354   ,
2014-01-24 11:48:12 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          1   ,                          16   ,                       358   ,
2014-01-24 11:48:13 ,              350.0   ,                800.0   ,               62.0   ,         0.0   ,          1   ,                          16   ,                       362   ,
2014-01-24 11:48:14 ,              350.0   ,                800.0   ,               57.0   ,         0.0   ,          1   ,                          16   ,                       366   ,
2014-01-24 11:48:15 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          0   ,                          16   ,                       370   ,
2014-01-24 11:48:16 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          0   ,                          16   ,                       373   ,
2014-01-24 11:48:17 ,              350.0   ,                800.0   ,               62.0   ,         0.0   ,          1   ,                          16   ,                       377   ,
2014-01-24 11:48:18 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          1   ,                          16   ,                       383   ,
2014-01-24 11:48:19 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          1   ,                          16   ,                       387   ,
2014-01-24 11:48:20 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          1   ,                          16   ,                       391   ,
2014-01-24 11:48:21 ,              350.0   ,                800.0   ,               58.0   ,         0.0   ,          1   ,                          16   ,                       395   ,
2014-01-24 11:48:22 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          0   ,                          16   ,                       398   ,
2014-01-24 11:48:23 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          1   ,                          16   ,                       402   ,
2014-01-24 11:48:24 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          1   ,                          16   ,                       406   ,
2014-01-24 11:48:25 ,              350.0   ,                800.0   ,               60.0   ,         0.0   ,          1   ,                          16   ,                       410   ,
2014-01-24 11:48:26 ,              350.0   ,                800.0   ,               58.0   ,         0.0   ,          1   ,                          16   ,                       414   ,
2014-01-24 11:48:27 ,              350.0   ,                800.0   ,               57.0   ,         0.0   ,          1   ,                          16   ,                       418   ,
2014-01-24 11:48:28 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          0   ,                          16   ,                       423   ,
2014-01-24 11:48:29 ,              350.0   ,                800.0   ,               58.0   ,         0.0   ,          0   ,                          16   ,                       425   ,
2014-01-24 11:48:30 ,              350.0   ,                800.0   ,               59.0   ,         0.0   ,          1   ,                          16   ,                       429   ,
2014-01-24 11:48:31 ,              350.0   ,                800.0   ,               61.0   ,         0.0   ,          1   ,                          16   ,                       433   ,
2014-01-24 11:48:32 ,              350.0   ,                800.0   ,               63.0   ,         0.0   ,          0   ,                          16   ,                       437   ,
2014-01-24 11:48:33 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:34 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:35 ,              350.0   ,                800.0   ,               58.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:36 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:37 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:38 ,              350.0   ,                800.0   ,               58.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:39 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:40 ,              350.0   ,                800.0   ,               58.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:41 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:42 ,              350.0   ,                800.0   ,               57.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:43 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:44 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:45 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:46 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:47 ,              350.0   ,                800.0   ,               57.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:48 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:49 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:50 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:51 ,              350.0   ,                800.0   ,               62.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:52 ,              350.0   ,                800.0   ,               57.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:53 ,              350.0   ,                800.0   ,               62.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:54 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:55 ,              350.0   ,                800.0   ,               58.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:56 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:57 ,              350.0   ,                800.0   ,               59.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:58 ,              350.0   ,                800.0   ,               62.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:48:59 ,              350.0   ,                800.0   ,               58.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:00 ,              350.0   ,                800.0   ,               58.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:01 ,              350.0   ,                800.0   ,               61.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:02 ,              350.0   ,                800.0   ,               62.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:03 ,              350.0   ,                800.0   ,               57.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:04 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:05 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:06 ,              350.0   ,                800.0   ,               57.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:07 ,              350.0   ,                800.0   ,               60.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
2014-01-24 11:49:08 ,              350.0   ,                800.0   ,               56.0   ,         0.1   ,          1   ,                          16   ,                       437   ,
