        Date        , GPU Core Clock [MHz] , GPU Memory Clock [MHz] , GPU Temperature [°C] , GPU Power [W] , GPU Load [%] , Memory Usage (Dedicated) [MB] , Memory Usage (Dynamic) [MB] ,
2014-01-24 11:52:24 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:52:25 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:52:26 ,             1250.0   ,                800.0   ,               60.0   ,        13.7   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:52:27 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:52:28 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:52:29 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:52:30 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:52:31 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:52:32 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:52:33 ,             1250.0   ,                800.0   ,               60.0   ,        13.7   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:52:34 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:52:35 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:36 ,             1250.0   ,                800.0   ,               61.0   ,        14.1   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:52:37 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:38 ,             1250.0   ,                800.0   ,               61.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:39 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:52:40 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:52:41 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:52:42 ,             1250.0   ,                800.0   ,               61.0   ,        13.9   ,         78   ,                          16   ,                       290   ,
2014-01-24 11:52:43 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       290   ,
2014-01-24 11:52:44 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:45 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:46 ,             1250.0   ,                800.0   ,               60.0   ,        14.0   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:47 ,             1250.0   ,                800.0   ,               60.0   ,        13.9   ,         79   ,                          16   ,                       287   ,
2014-01-24 11:52:48 ,             1250.0   ,                800.0   ,               61.0   ,        13.8   ,         78   ,                          16   ,                       287   ,
2014-01-24 11:52:49 ,             1250.0   ,                800.0   ,               60.0   ,        13.8   ,         78   ,                          16   ,                       290   ,
